Date,RSG,EXC,DUK,NEE,ES,EVRG,AJG,WEC,DTE,YUM
2018-06-20,67.5395126342773,40.548667907714794,72.9582977294922,158.564102172852,54.13774108886721,52.4560432434082,64.1711578369141,59.9441452026367,96.28882598876949,79.4901809692383
2018-06-21,67.7845458984375,40.1897392272949,73.6477584838867,159.217056274414,54.031036376953104,52.427005767822294,64.14178466796879,60.1088790893555,97.0452499389648,78.3793182373047
2018-06-22,68.3432159423828,40.2576484680176,74.1456985473633,160.123458862305,54.351146697998,52.6883201599121,65.33612060546879,60.3608245849609,97.4137649536133,78.99864196777341
2018-06-25,68.0785751342773,40.59716796875,75.725715637207,162.17004394531202,55.6121978759766,53.143196105957,64.9836959838867,61.4752082824707,99.6830291748047,77.2586288452148
2018-06-26,67.8433456420898,40.771781921386705,75.44801330566409,162.53063964843798,55.825599670410206,53.43354797363279,64.64105224609379,61.436450958252,100.08064270019501,78.6545791625977
2018-06-27,66.8632354736328,40.936695098877,76.1470489501953,163.80734252929702,56.2524185180664,53.6755027770996,63.4075584411621,62.008182525634794,101.031021118164,77.5338897705078
2018-06-28,67.4807052612305,41.0142974853516,75.8693542480469,162.569625854492,56.5337257385254,53.917453765869105,63.7502021789551,62.463619232177706,100.798271179199,76.5704879760742
2018-06-29,67.3378753662109,41.324714660644496,75.725715637207,162.784042358398,56.853843688964794,54.3433036804199,63.9068260192871,62.647735595703104,100.49763488769501,76.8948974609375
2018-07-02,67.90920257568361,41.61574172973629,76.3768768310547,164.71369934082,57.251556396484396,54.982063293457,63.8872566223145,63.132251739502,101.42862701416,76.7867660522461
2018-07-03,67.4068222045898,41.5284309387207,76.4247512817383,164.275146484375,57.736576080322294,54.7304267883301,64.1515731811523,63.161319732665994,101.84562683105499,76.5213317871094
2018-07-05,67.9289016723633,41.6351356506348,77.1908187866211,164.25564575195298,57.9305839538574,54.7401123046875,64.6997909545898,63.6458396911621,103.116035461426,76.4230270385742
2018-07-06,67.8008499145508,41.800048828125,78.15797424316409,165.98063659668,58.5029067993164,54.9336738586426,65.40464019775389,64.3532257080078,103.794876098633,76.9440460205078
2018-07-09,67.9584503173828,40.59716796875,75.3043746948242,161.11750793457,56.708335876464794,53.0077056884766,66.7360458374023,62.0469360351562,100.032157897949,77.8288040161133
2018-07-10,68.2933731079102,40.9075889587402,76.1470489501953,163.183609008789,56.960544586181605,53.2303047180176,66.608772277832,62.531455993652294,100.856460571289,77.9664306640625
2018-07-11,68.6676864624023,41.1792106628418,76.970573425293,164.128967285156,57.4746627807617,54.169094085693395,66.7556228637695,63.2872924804688,102.46628570556601,77.4552459716797
2018-07-12,69.140510559082,41.0821990966797,77.0854873657227,164.206939697266,57.3679618835449,53.956172943115206,67.2157363891602,63.5489273071289,102.718421936035,77.779655456543
2018-07-13,69.0912551879883,41.121002197265604,77.2003936767578,165.210739135742,57.3679618835449,54.1110229492188,67.41152191162111,63.171012878418,102.980270385742,77.7993087768555
2018-07-16,68.34262084960939,40.888191223144496,77.3535995483398,165.19123840332,57.2709617614746,54.198127746582,67.9989013671875,63.025661468505895,103.08693695068399,77.3274459838867
2018-07-17,68.2736740112305,40.6650733947754,77.229118347168,165.883209228516,57.106048583984396,54.2271614074707,68.2240753173828,62.9093742370605,103.164520263672,77.3864288330078
2018-07-18,67.43637084960939,40.6650733947754,77.0280303955078,165.11328125,56.7665405273438,53.7626075744629,69.01702880859379,62.7155685424805,102.854194641113,78.1433792114258
2018-07-19,67.5348739624023,40.975494384765604,77.7557830810547,165.922180175781,57.387359619140604,54.3433036804199,68.8212432861328,63.219455718994105,104.12460327148399,77.9860916137695
2018-07-20,67.22952270507811,40.7911796569824,77.229118347168,165.64929199218798,56.9896469116211,53.917453765869105,68.90933227539061,62.8318481445312,103.377876281738,77.9664306640625
2018-07-23,67.4068222045898,40.3643569946289,76.5779647827148,164.538269042969,56.708335876464794,53.278690338134794,69.30092620849611,62.3085784912109,103.213012695312,77.6125259399414
2018-07-24,67.3871307373047,40.4031562805176,76.501350402832,165.883209228516,57.0575485229492,53.2206230163574,69.02682495117189,62.4345474243164,103.494247436523,76.9243850708008
2018-07-25,69.53452301025389,40.626274108886705,76.779052734375,163.48571777343798,57.5619697570801,53.2690200805664,69.6631546020508,62.444240570068395,105.026489257812,77.337272644043
2018-07-26,70.0369033813477,41.0045967102051,77.6983413696289,163.885314941406,58.5514068603516,53.6948585510254,69.70230102539061,63.442344665527294,105.53076934814501,77.6125259399414
2018-07-27,71.4061279296875,40.936695098877,77.6504592895508,162.735305786133,58.2797966003418,53.549690246582,69.39882659912111,63.6555328369141,105.327117919922,77.5732116699219
2018-07-30,70.4801788330078,40.548667907714794,77.3440246582031,162.00436401367202,57.9693832397461,53.6271095275879,69.6435623168945,63.1806983947754,104.522216796875,77.4060897827148
2018-07-31,71.3962707519531,41.227714538574205,78.15797424316409,163.281051635742,58.9006195068359,54.28523254394529,69.84915161132811,64.3144607543945,105.259239196777,77.94677734375
2018-08-01,71.61297607421879,40.7426795959473,77.6121597290039,163.631912231445,57.9499855041504,53.810997009277294,69.83935546875,63.51017761230471,104.58038330078101,78.1237258911133
2018-08-02,72.0070037841797,41.023994445800795,77.03759765625,165.142517089844,58.2021980285645,54.0239181518555,69.6533584594727,63.636146545410206,105.41439819335899,79.2640609741211
2018-08-03,71.5637283325195,41.218009948730504,78.090950012207,166.79928588867202,59.1043281555176,54.3723335266113,69.9568328857422,64.2757034301758,106.772079467773,80.4732284545898
