Date,AMD,BLL,XLNX,SBUX,AZO,CMG,CDNS,CINF,AMT,HSY
2018-07-27,18.9400005340576,38.4350814819336,72.7332077026367,51.0087890625,699.780029296875,472.299987792969,45.2400016784668,72.5540771484375,141.538131713867,94.5035552978516
2018-07-30,19.4200000762939,38.24672317504879,71.7684326171875,50.764255523681605,698.4600219726559,465.47000122070295,43.9099998474121,73.48976135253909,139.910781860352,95.2927932739258
2018-07-31,18.3299999237061,38.6333503723145,70.951301574707,51.243534088134794,705.530029296875,433.660003662109,44.0900001525879,73.71392822265621,145.32214355468798,95.6922836303711
2018-08-01,18.479999542236303,38.990242004394496,70.0357513427734,50.7936019897461,701.2999877929691,442.630004882812,43.9900016784668,73.3435592651367,147.21414184570298,94.0553512573242
2018-08-02,18.7900009155273,40.179874420166,70.6067428588867,50.549072265625,719.0800170898441,460.380004882812,44.7000007629395,73.3435592651367,145.292724609375,95.03945922851558
2018-08-03,18.4899997711182,41.062183380127,70.75440979003909,51.087032318115206,721.380004882812,463.26998901367205,44.7700004577637,73.6262130737305,148.018005371094,96.61792755126949
2018-08-06,19.4300003051758,41.0919303894043,71.9850082397461,50.930534362793,725.380004882812,475.25,45.0900001525879,74.0355682373047,147.939590454102,97.50460815429692
2018-08-07,19.5599994659424,41.379425048828104,72.65777587890621,50.930534362793,729.9099731445309,478.01998901367205,45.1599998474121,73.1486282348633,147.076919555664,96.0528030395508
2018-08-08,19.5799999237061,41.101837158203104,72.6478729248047,50.772945404052706,732.7899780273441,487.570007324219,45.0699996948242,73.17787170410159,146.380905151367,95.1856155395508
2018-08-09,19.1000003814697,40.8936538696289,72.6478729248047,51.1373710632324,736.2899780273441,487.679992675781,45.33000183105471,73.0998840332031,147.606292724609,94.8445816040039
2018-08-10,19.0599994659424,39.9716911315918,70.4020538330078,50.733547210693395,738.9600219726559,485.47000122070295,45.2000007629395,72.5053405761719,146.24362182617202,95.1953582763672
2018-08-13,19.729999542236303,39.3074798583984,70.886833190918,51.0290298461914,729.4099731445309,484.660003662109,45.3600006103516,71.8230819702148,146.07698059082,95.54613494873051
2018-08-14,20.020000457763697,39.357048034668004,70.4020538330078,51.797271728515604,754.869995117188,493.320007324219,46.0,72.4273681640625,146.17501831054702,96.08202362060551
2018-08-15,19.7000007629395,39.7635040283203,69.8579025268555,51.9548568725586,752.010009765625,525.8900146484381,45.439998626709006,72.5540771484375,146.59655761718798,97.8651275634766
2018-08-16,19.3299999237061,39.9518585205078,69.8579025268555,52.2404899597168,762.739990234375,502.700012207031,45.369998931884794,73.3825454711914,146.773010253906,97.92357635498051
2018-08-17,19.770000457763697,40.308753967285206,70.2635345458984,52.7526512145996,765.3400268554691,510.440002441406,45.1800003051758,73.8308944702148,148.194488525391,98.8784637451172
2018-08-20,19.979999542236303,40.566501617431605,70.3624801635742,53.10722351074221,766.859985351562,515.75,45.08000183105471,74.2110061645508,147.821929931641,99.81385040283199
2018-08-21,20.3999996185303,40.7152099609375,71.64862060546879,53.1860160827637,767.0,518.9000244140619,45.4000015258789,74.4936599731445,146.34167480468798,98.4984588623047
2018-08-22,20.8999996185303,40.308753967285206,72.1927795410156,52.0238037109375,758.760009765625,523.580017089844,45.75,74.0940475463867,145.194717407227,97.6312637329102
2018-08-23,22.2900009155273,40.328582763671896,72.38075256347659,51.8662185668945,771.369995117188,518.039978027344,46.369998931884794,74.22076416015621,144.479064941406,97.1523284912109
